Date,Open,High,Low,Close,Adj Close,Volume
2016-01-05,8.245000,8.360000,8.125000,8.222500,8.030749,49027200
2016-01-06,8.087500,8.125000,7.790000,7.882500,7.698679,44934400
2016-01-07,7.685000,7.737500,7.470000,7.570000,7.393466,64530400
2016-01-08,7.667500,7.675000,7.392500,7.407500,7.234756,39847200
2016-01-11,7.415000,7.472500,7.287500,7.420000,7.246965,40937200
2016-01-12,7.552500,7.655000,7.492500,7.545000,7.369049,46935600
2016-01-13,7.602500,7.652500,7.307500,7.315000,7.144413,48167200
2016-01-14,7.165000,7.250000,6.955000,7.167500,7.000353,60023600
2016-01-15,6.880000,6.962500,6.660000,6.777500,6.619448,84145200
2016-01-19,6.917500,7.112500,6.805000,6.832500,6.673166,45714000
2016-01-20,6.702500,6.957500,6.612500,6.870000,6.709792,48118000
2016-01-21,6.945000,7.057500,6.802500,6.950000,6.787924,48145600
2016-01-22,7.082500,7.160000,7.067500,7.112500,6.946636,25799600
2016-01-25,7.110000,7.192500,7.090000,7.105000,6.939311,27072800
2016-01-26,7.120000,7.205000,7.047500,7.175000,7.007678,22794400
2016-01-27,7.165000,7.187500,6.955000,7.090000,6.924661,23170000
2016-01-28,7.147500,7.172500,6.875000,7.012500,6.848969,27677600
2016-01-29,7.072500,7.337500,7.045000,7.322500,7.151740,31050400
2016-02-01,7.315000,7.362500,7.252500,7.325000,7.154181,28988400
2016-02-02,7.250000,7.287500,6.965000,7.015000,6.851408,34190800
2016-02-03,7.070000,7.112500,6.887500,7.050000,6.885594,32677200
2016-02-04,7.060000,7.212500,6.982500,7.052500,6.888035,34814000
2016-02-05,7.005000,7.082500,6.587500,6.607500,6.453413,60042800
2016-02-08,6.507500,6.540000,6.212500,6.305000,6.157967,60885200
2016-02-09,6.230000,6.637500,6.200000,6.372500,6.223892,42537200
2016-02-10,6.412500,6.597500,6.322500,6.357500,6.209242,33580000
2016-02-11,6.195000,6.390000,6.195000,6.325000,6.177501,34014400
2016-02-12,6.425000,6.445000,6.187500,6.432500,6.282492,34081600
2016-02-16,6.525000,6.757500,6.505000,6.747500,6.590148,48535200
2016-02-17,6.832500,6.980000,6.805000,6.915000,6.753741,77146800
2016-02-18,7.482500,7.745000,7.475000,7.510000,7.334867,106866000
2016-02-19,7.470000,7.677500,7.412500,7.610000,7.432534,52562800
2016-02-22,7.720000,7.967500,7.705000,7.880000,7.696238,44966800
2016-02-23,7.817500,7.975000,7.780000,7.900000,7.715772,36938000
2016-02-24,7.867500,7.967500,7.650000,7.955000,7.769489,33685200
2016-02-25,7.985000,8.012500,7.830000,7.972500,7.786581,34961600
2016-02-26,8.010000,8.030000,7.840000,7.920000,7.735306,36196400
2016-02-29,7.902500,8.005000,7.835000,7.840000,7.685068,32334400
2016-03-01,7.860000,8.187500,7.847500,8.187500,8.025699,34870000
2016-03-02,8.142500,8.265000,8.127500,8.235000,8.072262,23381200
2016-03-03,8.225000,8.260000,8.052500,8.162500,8.001196,30200400
2016-03-04,8.225000,8.232500,8.075000,8.137500,7.976691,17530400
2016-03-07,8.092500,8.147500,7.980000,8.085000,7.925226,23996800
2016-03-08,8.002500,8.050000,7.912500,7.937500,7.780641,27494000
2016-03-09,8.007500,8.020000,7.830000,7.932500,7.775739,22278800
2016-03-10,7.980000,8.025000,7.760000,7.920000,7.763487,28608400
2016-03-11,8.037500,8.057500,7.942500,8.055000,7.895819,27740000
2016-03-14,8.017500,8.107500,7.980000,8.075000,7.915424,19031200
